ID,Class
1069.wav,siren
1070.wav,engine_idling
1071.wav,drilling
1072.wav,children_playing
1074.wav,engine_idling
1076.wav,dog_bark
1077.wav,engine_idling
1078.wav,car_horn
1079.wav,engine_idling
1080.wav,street_music
1082.wav,dog_bark
1083.wav,street_music
1085.wav,engine_idling
1087.wav,air_conditioner
1088.wav,air_conditioner
1089.wav,air_conditioner
1090.wav,jackhammer
1091.wav,street_music
1092.wav,children_playing
1096.wav,air_conditioner
1098.wav,children_playing
1100.wav,air_conditioner
1105.wav,car_horn
1106.wav,children_playing
1112.wav,street_music
1113.wav,drilling
1115.wav,air_conditioner
1116.wav,siren
1118.wav,dog_bark
1119.wav,siren
1120.wav,dog_bark
1126.wav,air_conditioner
1129.wav,street_music
1131.wav,engine_idling
1133.wav,street_music
1134.wav,street_music
1137.wav,air_conditioner
1139.wav,engine_idling
1143.wav,street_music
1145.wav,jackhammer
1147.wav,children_playing
1148.wav,engine_idling
1149.wav,drilling
1150.wav,drilling
1151.wav,children_playing
1152.wav,jackhammer
1156.wav,children_playing
1157.wav,siren
1158.wav,air_conditioner
1160.wav,gun_shot
1162.wav,air_conditioner
1168.wav,air_conditioner
1174.wav,car_horn
1175.wav,jackhammer
1176.wav,jackhammer
1180.wav,car_horn
1181.wav,children_playing
1182.wav,car_horn
1183.wav,jackhammer
1186.wav,dog_bark
1187.wav,drilling
1188.wav,jackhammer
1189.wav,gun_shot
1191.wav,street_music
1195.wav,engine_idling
1200.wav,street_music
1203.wav,air_conditioner
1205.wav,engine_idling
1206.wav,children_playing
1209.wav,children_playing
1210.wav,engine_idling
1214.wav,street_music
1217.wav,street_music
1218.wav,siren
1219.wav,car_horn
1220.wav,drilling
1224.wav,siren
1226.wav,siren
1228.wav,jackhammer
1230.wav,drilling
1231.wav,dog_bark
1232.wav,air_conditioner
1235.wav,jackhammer
1236.wav,siren
1237.wav,air_conditioner
1240.wav,drilling
1241.wav,siren
1242.wav,siren
1243.wav,dog_bark
1244.wav,gun_shot
1245.wav,air_conditioner
1246.wav,gun_shot
1248.wav,drilling
1251.wav,siren
1252.wav,jackhammer
1255.wav,engine_idling
1256.wav,air_conditioner
1257.wav,street_music
1259.wav,air_conditioner
1261.wav,drilling
1262.wav,children_playing
1265.wav,dog_bark
1267.wav,air_conditioner
1269.wav,siren
1270.wav,street_music
1271.wav,jackhammer
1272.wav,engine_idling
1273.wav,children_playing
1275.wav,engine_idling
1276.wav,gun_shot
1277.wav,children_playing
1278.wav,children_playing
1279.wav,air_conditioner
1286.wav,jackhammer
1287.wav,dog_bark
1289.wav,children_playing
1292.wav,air_conditioner
1294.wav,siren
1295.wav,siren
1296.wav,siren
1297.wav,street_music
1298.wav,children_playing
1300.wav,drilling
1301.wav,street_music
1302.wav,drilling
1303.wav,car_horn
1305.wav,siren
1306.wav,jackhammer
1308.wav,street_music
1310.wav,engine_idling
1311.wav,children_playing
1312.wav,engine_idling
1314.wav,gun_shot
1316.wav,street_music
1317.wav,jackhammer
1318.wav,jackhammer
1319.wav,dog_bark
1321.wav,jackhammer
1322.wav,drilling
1323.wav,jackhammer
1326.wav,air_conditioner
1327.wav,air_conditioner
1328.wav,drilling
1329.wav,engine_idling
1330.wav,siren
1332.wav,siren
1334.wav,jackhammer
1335.wav,engine_idling
1337.wav,dog_bark
1338.wav,street_music
1339.wav,street_music
1341.wav,gun_shot
1345.wav,gun_shot
1346.wav,drilling
1347.wav,jackhammer
1349.wav,jackhammer
1350.wav,drilling
1351.wav,engine_idling
1352.wav,dog_bark
1353.wav,drilling
1355.wav,street_music
1356.wav,air_conditioner
1357.wav,jackhammer
1358.wav,engine_idling
1361.wav,dog_bark
1363.wav,engine_idling
1365.wav,siren
1366.wav,street_music
1367.wav,jackhammer
1368.wav,gun_shot
1370.wav,drilling
1371.wav,air_conditioner
1377.wav,engine_idling
1378.wav,children_playing
1380.wav,car_horn
1381.wav,drilling
1384.wav,street_music
1385.wav,air_conditioner
1386.wav,car_horn
1388.wav,jackhammer
1390.wav,dog_bark
1393.wav,engine_idling
1394.wav,drilling
1396.wav,drilling
1398.wav,dog_bark
1399.wav,engine_idling
1400.wav,dog_bark
1404.wav,siren
1405.wav,street_music
1409.wav,air_conditioner
1412.wav,jackhammer
1414.wav,engine_idling
1415.wav,children_playing
1417.wav,gun_shot
1418.wav,dog_bark
1419.wav,street_music
1423.wav,siren
1425.wav,gun_shot
1428.wav,jackhammer
1431.wav,car_horn
1432.wav,drilling
1435.wav,car_horn
1436.wav,drilling
1437.wav,car_horn
1444.wav,engine_idling
1446.wav,drilling
1447.wav,jackhammer
1448.wav,drilling
1449.wav,engine_idling
1450.wav,air_conditioner
1452.wav,jackhammer
1454.wav,siren
1458.wav,dog_bark
1459.wav,dog_bark
1460.wav,engine_idling
1461.wav,engine_idling
1462.wav,street_music
1467.wav,engine_idling
1468.wav,drilling
1469.wav,drilling
1470.wav,drilling
1471.wav,gun_shot
1472.wav,drilling
1473.wav,jackhammer
1475.wav,drilling
1477.wav,gun_shot
1478.wav,siren
1479.wav,street_music
1480.wav,children_playing
1481.wav,dog_bark
1483.wav,engine_idling
1485.wav,children_playing
1488.wav,car_horn
1489.wav,dog_bark
1491.wav,gun_shot
1492.wav,dog_bark
1493.wav,children_playing
1496.wav,gun_shot
1497.wav,children_playing
1498.wav,children_playing
1500.wav,engine_idling
1501.wav,dog_bark
1502.wav,gun_shot
1503.wav,siren
1506.wav,jackhammer
1508.wav,dog_bark
1510.wav,children_playing
1511.wav,gun_shot
1512.wav,drilling
1515.wav,dog_bark
1516.wav,car_horn
1517.wav,children_playing
1518.wav,street_music
1520.wav,gun_shot
1521.wav,dog_bark
1523.wav,street_music
1525.wav,drilling
1527.wav,siren
1528.wav,dog_bark
1529.wav,street_music
1530.wav,street_music
1531.wav,air_conditioner
1532.wav,siren
1534.wav,jackhammer
1536.wav,street_music
1537.wav,dog_bark
1540.wav,siren
1542.wav,street_music
1546.wav,air_conditioner
1547.wav,air_conditioner
1548.wav,air_conditioner
1549.wav,children_playing
1550.wav,car_horn
1551.wav,car_horn
1552.wav,dog_bark
1554.wav,air_conditioner
1555.wav,engine_idling
1556.wav,jackhammer
1558.wav,jackhammer
1560.wav,street_music
1561.wav,engine_idling
1562.wav,children_playing
1563.wav,street_music
1564.wav,gun_shot
1565.wav,engine_idling
1567.wav,jackhammer
1569.wav,drilling
1570.wav,engine_idling
1571.wav,street_music
1573.wav,air_conditioner
1574.wav,jackhammer
1578.wav,siren
1579.wav,air_conditioner
1581.wav,jackhammer
1584.wav,street_music
1586.wav,drilling
1588.wav,car_horn
1589.wav,siren
1591.wav,street_music
1593.wav,drilling
1597.wav,jackhammer
1598.wav,jackhammer
1599.wav,siren
1601.wav,jackhammer
1602.wav,engine_idling
1603.wav,street_music
1604.wav,car_horn
1605.wav,jackhammer
1606.wav,car_horn
1607.wav,jackhammer
1608.wav,drilling
1612.wav,jackhammer
1613.wav,drilling
1614.wav,air_conditioner
1615.wav,car_horn
1616.wav,siren
1618.wav,drilling
1621.wav,engine_idling
1623.wav,siren
1626.wav,engine_idling
1628.wav,jackhammer
1629.wav,drilling
1630.wav,air_conditioner
1632.wav,street_music
1633.wav,children_playing
1634.wav,street_music
1635.wav,air_conditioner
1636.wav,jackhammer
1639.wav,jackhammer
1640.wav,jackhammer
1647.wav,jackhammer
1648.wav,jackhammer
1649.wav,jackhammer
1651.wav,street_music
1652.wav,dog_bark
1653.wav,gun_shot
1656.wav,gun_shot
1660.wav,drilling
1661.wav,air_conditioner
1663.wav,dog_bark
1664.wav,drilling
1666.wav,drilling
1667.wav,gun_shot
1669.wav,drilling
1672.wav,siren
1673.wav,engine_idling
1674.wav,jackhammer
1675.wav,children_playing
1677.wav,drilling
1678.wav,jackhammer
1679.wav,gun_shot
1680.wav,siren
1681.wav,jackhammer
1686.wav,air_conditioner
1687.wav,dog_bark
1688.wav,street_music
1689.wav,street_music
1690.wav,jackhammer
1695.wav,engine_idling
1697.wav,engine_idling
1699.wav,children_playing
1701.wav,jackhammer
1702.wav,dog_bark
1703.wav,siren
1704.wav,jackhammer
1705.wav,air_conditioner
1706.wav,engine_idling
1708.wav,jackhammer
1709.wav,dog_bark
1711.wav,engine_idling
1713.wav,dog_bark
1714.wav,air_conditioner
1715.wav,street_music
1716.wav,street_music
1718.wav,street_music
1719.wav,siren
1720.wav,dog_bark
1722.wav,drilling
1724.wav,street_music
1725.wav,drilling
1727.wav,gun_shot
1728.wav,dog_bark
1729.wav,dog_bark
1730.wav,engine_idling
1731.wav,street_music
1734.wav,children_playing
1736.wav,children_playing
1737.wav,children_playing
1738.wav,drilling
1739.wav,engine_idling
1741.wav,children_playing
1744.wav,engine_idling
1745.wav,street_music
1746.wav,siren
1748.wav,street_music
1749.wav,siren
1750.wav,air_conditioner
1751.wav,drilling
1754.wav,car_horn
1755.wav,car_horn
1760.wav,air_conditioner
1761.wav,drilling
1763.wav,air_conditioner
1765.wav,dog_bark
1766.wav,air_conditioner
1767.wav,drilling
1768.wav,jackhammer
1769.wav,siren
1771.wav,gun_shot
1773.wav,air_conditioner
1774.wav,gun_shot
1776.wav,jackhammer
1777.wav,gun_shot
1779.wav,siren
1780.wav,street_music
1782.wav,children_playing
1783.wav,children_playing
1786.wav,engine_idling
1787.wav,air_conditioner
1789.wav,dog_bark
1791.wav,street_music
1792.wav,drilling
1794.wav,car_horn
1795.wav,street_music
1796.wav,air_conditioner
1800.wav,air_conditioner
1801.wav,street_music
1802.wav,jackhammer
1803.wav,drilling
1805.wav,dog_bark
1806.wav,dog_bark
1807.wav,dog_bark
1808.wav,engine_idling
1809.wav,engine_idling
1812.wav,jackhammer
1813.wav,engine_idling
1816.wav,siren
1817.wav,dog_bark
1818.wav,air_conditioner
1819.wav,air_conditioner
1820.wav,jackhammer
1822.wav,jackhammer
1825.wav,drilling
1826.wav,drilling
1827.wav,siren
1828.wav,engine_idling
1829.wav,children_playing
1830.wav,gun_shot
1831.wav,siren
1832.wav,street_music
1834.wav,dog_bark
1836.wav,engine_idling
1837.wav,siren
1839.wav,drilling
1840.wav,gun_shot
1841.wav,jackhammer
1842.wav,children_playing
1843.wav,dog_bark
1847.wav,drilling
1848.wav,siren
1849.wav,engine_idling
1850.wav,children_playing
1853.wav,dog_bark
1854.wav,drilling
1856.wav,air_conditioner
1858.wav,engine_idling
1863.wav,siren
1864.wav,air_conditioner
1866.wav,dog_bark
1867.wav,jackhammer
1868.wav,drilling
1869.wav,children_playing
1870.wav,street_music
1871.wav,jackhammer
1872.wav,street_music
1873.wav,jackhammer
1874.wav,children_playing
1876.wav,street_music
1877.wav,children_playing
1879.wav,siren
1881.wav,dog_bark
1883.wav,dog_bark
1886.wav,siren
1889.wav,children_playing
1890.wav,siren
1891.wav,dog_bark
1892.wav,children_playing
1893.wav,street_music
1894.wav,car_horn
1895.wav,children_playing
1896.wav,siren
1897.wav,children_playing
1898.wav,jackhammer
1899.wav,siren
1901.wav,street_music
1904.wav,air_conditioner
1908.wav,siren
1910.wav,air_conditioner
1913.wav,siren
1914.wav,drilling
1916.wav,engine_idling
1917.wav,street_music
1918.wav,drilling
1919.wav,air_conditioner
1921.wav,siren
1922.wav,jackhammer
1923.wav,jackhammer
1924.wav,engine_idling
1925.wav,car_horn
1927.wav,air_conditioner
1929.wav,air_conditioner
1932.wav,jackhammer
1933.wav,siren
1935.wav,engine_idling
1936.wav,siren
1937.wav,car_horn
1938.wav,car_horn
1940.wav,children_playing
1941.wav,engine_idling
1943.wav,air_conditioner
1944.wav,engine_idling
1945.wav,drilling
1946.wav,dog_bark
1947.wav,dog_bark
1948.wav,children_playing
1949.wav,drilling
1950.wav,dog_bark
1952.wav,jackhammer
1956.wav,jackhammer
1957.wav,car_horn
1958.wav,siren
1960.wav,dog_bark
1963.wav,siren
1966.wav,gun_shot
1967.wav,engine_idling
1968.wav,children_playing
1970.wav,air_conditioner
1971.wav,street_music
1973.wav,gun_shot
1974.wav,children_playing
1976.wav,engine_idling
1977.wav,engine_idling
1978.wav,engine_idling
1980.wav,air_conditioner
1982.wav,siren
1986.wav,car_horn
1987.wav,drilling
1988.wav,jackhammer
1991.wav,engine_idling
1992.wav,engine_idling
1994.wav,siren
1996.wav,jackhammer
1997.wav,air_conditioner
1999.wav,dog_bark
2000.wav,car_horn
2001.wav,dog_bark
2002.wav,siren
2004.wav,jackhammer
2008.wav,jackhammer
2009.wav,gun_shot
2010.wav,siren
2013.wav,engine_idling
2016.wav,drilling
2017.wav,jackhammer
2018.wav,engine_idling
2019.wav,siren
2020.wav,street_music
2022.wav,children_playing
2023.wav,jackhammer
2025.wav,jackhammer
2026.wav,jackhammer
2028.wav,children_playing
2029.wav,siren
2031.wav,air_conditioner
2033.wav,dog_bark
2036.wav,jackhammer
2037.wav,children_playing
2038.wav,dog_bark
2040.wav,engine_idling
2042.wav,jackhammer
2043.wav,engine_idling
2045.wav,gun_shot
2047.wav,drilling
2048.wav,engine_idling
2049.wav,street_music
2050.wav,jackhammer
2051.wav,dog_bark
2054.wav,drilling
2055.wav,children_playing
2056.wav,drilling
2057.wav,car_horn
2063.wav,air_conditioner
2064.wav,siren
2066.wav,children_playing
2067.wav,air_conditioner
2070.wav,jackhammer
2072.wav,drilling
2073.wav,children_playing
2077.wav,dog_bark
2078.wav,air_conditioner
2080.wav,car_horn
2081.wav,jackhammer
2082.wav,siren
2083.wav,siren
2084.wav,dog_bark
2087.wav,engine_idling
2089.wav,gun_shot
2090.wav,dog_bark
2091.wav,drilling
2094.wav,jackhammer
2095.wav,street_music
2096.wav,siren
2098.wav,air_conditioner
2099.wav,engine_idling
